Location_Name,Latitude,Longitude,Type,Google_Maps
Bocanáriz,-33.4384002000000,-70.641319300000,Wine bar,https://goo.gl/maps/oKCkZGYJWc6B27WC6
Chipe Libre,-33.4383183000000,-70.641329100000,Restaurant,https://goo.gl/maps/oKCkZGYJWc6B27WC6
Ambrosía,-33.3783715000000,-70.529824300000,Restaurant,https://goo.gl/maps/oKCkZGYJWc6B27WC6
Ambrosia Bistro,-33.4209467000000,-70.610463900000,Restaurant,https://goo.gl/maps/oKCkZGYJWc6B27WC6
Pizzería Tiramisú,-33.4145559000000,-70.597698700000,Restaurant,https://goo.gl/maps/oKCkZGYJWc6B27WC6
La Cabrera Chile Isidora,-33.4146900000000,-70.596629700000,Restaurant,https://goo.gl/maps/oKCkZGYJWc6B27WC6
Casa Altamira,-33.0439491000000,-71.626167200000,Brewery,https://goo.gl/maps/oKCkZGYJWc6B27WC6
Santa Pizza Santo Domingo,-33.6651520000000,-71.638644900000,Pizza,https://goo.gl/maps/oKCkZGYJWc6B27WC6
Winery Casas del Bosque,-33.3174912000000,-71.434988900000,Vinyard,https://goo.gl/maps/oKCkZGYJWc6B27WC6
Viña Undurraga,-33.6460795000000,-70.885914000000,Vinyard,https://goo.gl/maps/oKCkZGYJWc6B27WC6
Winery Casas del Bosque,-33.3174912000000,-71.434988900000,Vinyard,https://goo.gl/maps/oKCkZGYJWc6B27WC6
Centre Gabriela Mistral,-33.4394434000000,-70.639800100000,Arts,https://goo.gl/maps/oKCkZGYJWc6B27WC6
Nailsbar,-33.4322656999999,-70.601901800000,Nails,https://goo.gl/maps/oKCkZGYJWc6B27WC6
Parque Tricao,-33.7049855,-71.6316654,Nature,https://goo.gl/maps/oKCkZGYJWc6B27WC6
Pomaire,-33.6498691,-71.1513932,Shopping,https://goo.gl/maps/oKCkZGYJWc6B27WC6
Los Dominicos Craft Centre,-33.4084006,-70.5417441,Shopping,https://goo.gl/maps/oKCkZGYJWc6B27WC6
Cerro Alegre,-33.0430789,-71.6280588,Arts,https://goo.gl/maps/oKCkZGYJWc6B27WC6
Reñaca beach,-32.9696809,-71.5456448,Beach,https://goo.gl/maps/oKCkZGYJWc6B27WC6
Canelillo,-33.3674319,-71.6884517,Beach,https://goo.gl/maps/oKCkZGYJWc6B27WC6
San Antonio, -33.5545,-71.6073, City,https://goo.gl/maps/oKCkZGYJWc6B27WC6